node,sample_idx,n_nodes,n_edges,is_phisher,out_degree,in_degree,direction_ratio,max_out_amount,min_out_amount,avg_out_amount,max_in_amount,min_in_amount,avg_in_amount,account_balance,lifetime_days,active_days,freq_out_short,freq_in_short,freq_out_long,freq_in_long,short_long_out_ratio,short_long_in_ratio,katz_centrality,betweenness_centrality,degree_centrality,closeness_centrality,clustering_coefficient,eigenvector_centrality,in_degree_centrality,out_degree_centrality
0xc2d176d52e03910359cd3a4a0452eebc05e5f143,1,10022,31742,True,7,4,0.636364,13.938337,0.00458,3.985362,26.83401,0.01246,6.97558,0.004788,423,5,0.066667,0.066667,0.011111,0.011111,5.999999,5.999999,0.00995317,2.79e-06,0.0009979,0.00084822,0.0,7.819e-05,0.00039916,0.00059874
0xe67790cb9c501b2dfd0574c288afd88698774fb6,2,20244,165479,True,6,6,0.5,2.72386,0.9973,1.412887,2.72449,1.0,1.413915,0.006166,32,6,0.166667,0.166667,0.033333,0.033333,5.0,5.0,0.00750316,0.0,0.0003458,0.2247469,0.04761905,0.0,0.0002964,4.94e-05
0x9586b961dff9ef72ab1256e7e82c9dc4fb1f5d7a,3,46790,443302,True,30,2,0.9375,0.025,0.0,0.000993,0.007,0.006907,0.006953,-0.015893,118,16,0.166667,0.0,0.166667,0.011111,1.0,0.0,0.00427095,1.402e-05,0.0004702,0.03526736,0.004329,0.0,4.275e-05,0.00042745
0x94a1768148c40e5b9d10b86fc5f6d91f710d52d0,4,72144,695407,True,39,11,0.78,0.028185,0.0,0.001852,0.03,0.002,0.008636,0.022778,467,28,0.133333,0.066667,0.027778,0.011111,4.8,5.999999,0.00354879,3.55e-06,0.00058218,0.03377308,0.07017544,0.0,0.00011089,0.00047129
0x369314da422b61403e565e3ab92d4700aa0913a9,5,53273,258480,True,22,15,0.594595,0.001037,0.0,4.7e-05,0.002589,2e-06,0.000339,0.004055,155,17,0.066667,0.033333,0.122222,0.083333,0.545455,0.4,0.0041685,7.1e-07,0.00058192,0.01445179,0.05591398,0.0,0.00018772,0.0003942
0xc438b4c0dfbb1593be6dee03bbd1a84bb3aa6213,6,2559,335709,True,41,1531,0.026081,10.4982,0.00085,1.041618,9.74775,0.0,0.029211,2.016287,433,255,0.0,0.2,0.0,0.411111,0.0,0.486486,0.06166876,0.00024875,0.17318217,0.35944538,0.000143,0.0,0.17279124,0.00039093
0x82a759bb9848133f1cf6936318306072ef7a637b,7,21360,200192,True,15,16,0.483871,5.536502,0.0,0.954886,5.0,0.003,0.895489,0.004542,441,10,0.033333,0.033333,0.011111,0.011111,3.0,3.0,0.0078,0.00014608,0.00079592,0.16045243,0.0,0.0,0.00032773,0.00046819
0x37c81cc9ff71d0f97849a947bf22e8e529b72230,8,128969,944932,True,66,26,0.717391,82.0,0.0,1.30697,23.574762,0.079358,3.324544,0.178135,43,9,1.8,0.066667,0.366667,0.144444,4.909091,0.461538,0.00288548,1.217e-05,0.00053502,0.01588758,0.03906936,0.0,0.00017058,0.00036443
0xe5bf8b2419242287b071731d3f59858cf74c2c90,9,13,113,True,38,11,0.77551,26.61,0.0,1.716053,10.0,0.1,2.536364,-37.31,41,7,0.366667,0.066667,0.211111,0.061111,1.736842,1.090909,0.27916346,0.12878788,0.66666667,0.33333333,0.26666667,0.01165663,0.25,0.41666667
0xcb1f2e123880d4537451f0c35efeeec08088925e,10,35,301,True,1,2,0.333333,46.204849,46.204849,46.204849,32.37655,13.828719,23.102635,0.00042,11,2,0.033333,0.066667,0.005556,0.011111,5.999999,5.999999,0.1695324,0.05080214,0.08823529,0.47107843,0.0,0.00317894,0.05882353,0.02941176
0x324e3df7d6747a4445bd70c697065e5bb8c440ee,11,1139,46908,True,1,5,0.166667,3.998665,3.998665,3.998665,3.980758,0.030579,1.200835,2.005509,34,4,0.033333,0.066667,0.005556,0.027778,5.999999,2.4,0.02932346,0.00046217,0.00351494,0.23698267,0.0,0.0,0.0026362,0.00087873
0x27f4c13866fb207a928f6e66c5c9767acadcd51c,12,400,2346,True,2,1,0.666667,1.902505,0.118114,1.01031,2.021019,2.021019,2.021019,0.000399,1,2,0.066667,0.033333,0.011111,0.005556,5.999999,5.999999,0.05001709,0.00386645,0.0075188,0.38160425,0.0,0.0,0.00250627,0.00501253
0x700cee07ac5ef32bc2af762b10f5d85b97a55261,13,157791,1251868,True,281,123,0.695545,245.764073,0.0,2.087025,97.171292,0.007729,4.705357,-7.695168,3,4,9.366667,4.1,1.561111,0.683333,6.0,6.0,0.00398816,0.00078424,0.00128018,0.03419342,0.00729602,0.0,0.00074783,0.00053235
0x2e5b99eebade01bc6c04077df87d56ecd518ed41,14,7074,26133,True,3,1,0.75,1.99395,9e-06,0.664822,2.0,2.0,2.0,0.005534,20,3,0.1,0.033333,0.016667,0.005556,6.0,5.999999,0.0116875,0.0,0.00028277,0.02508382,0.0,0.0,0.00014138,0.00014138
0x849de2877f2d4fc368f61e486ffce1b7be4bac73,15,22158,105881,True,38,37,0.506667,1.418208,0.03135,0.325968,1.450527,0.0223,0.335575,0.029492,368,54,0.066667,0.1,0.194444,0.177778,0.342857,0.5625,0.00774052,0.00068388,0.00239202,0.12112949,0.01432881,1.55e-06,0.00081238,0.00157964
0x7bcac19e6b5ea7d86b3bf5122d4b20010f535bb7,16,21347,456395,True,45,29,0.608108,367.0,0.0,8.365659,117.551667,0.092491,12.987973,0.196558,16,7,1.5,0.966667,0.25,0.161111,6.0,6.0,0.0079136,0.00101968,0.00182704,0.11767799,0.02402402,0.0,0.00131172,0.00051532
0x1d59e20970688bea4820ef512f9b4b94ad01945b,17,25297,463016,True,16,11,0.592593,7.499352,0.0,2.206836,7.5,0.006,3.211816,0.020593,253,14,0.066667,0.033333,0.072222,0.05,0.923077,0.666667,0.00611205,4.59e-06,0.00039532,0.04943648,0.11111111,1e-08,0.00019766,0.00019766
0x6bb2950e3cdce797f07ce70c952bd41d7563f1be,18,80,169,True,1,7,0.125,11.769524,11.769524,11.769524,3.207537,0.126284,1.681484,0.000861,0,1,0.033333,0.233333,0.005556,0.038889,5.999999,6.0,0.11502517,0.02044791,0.10126582,0.42218913,0.0,0.00241855,0.08860759,0.01265823
0x69f8e87518129498da751f26ea2309db05e7270b,19,199085,1822218,True,28,365,0.071247,16.4,0.0,3.429336,10.5,0.0,0.559827,108.315311,109,24,0.033333,0.033333,0.155556,2.027778,0.214286,0.016438,0.00787651,0.00265835,0.00122059,0.16036497,0.00770015,1e-08,0.00119045,3.014e-05
0x688f075476bcccd25cd2455899aaedddbab3848b,20,11387,50259,True,8,3,0.727273,0.005581,0.0,0.000734,0.006105,6e-05,0.002288,0.000993,53,4,0.133333,0.033333,0.044444,0.016667,3.0,2.0,0.00888692,0.0015408,0.0009661,0.01596585,0.02777778,0.0,0.00026348,0.00070262
0xc5132bf318d9c68b09567407b214aa1497691f81,21,2089,37452,True,3,2,0.6,0.003428,0.0,0.002015,0.005,0.0031,0.00405,0.002055,42,4,0.066667,0.033333,0.016667,0.011111,4.0,3.0,0.02133553,0.00013448,0.00191571,0.08125972,0.16666667,2.6e-07,0.00095785,0.00095785
0x94081ddbce2712a872d0e9b3de81f560ff379481,22,33268,580632,True,35,8,0.813953,3.6,0.0,0.456969,3.6,0.03,1.502378,-3.974892,200,12,0.1,0.033333,0.138889,0.027778,0.72,1.2,0.00501209,3.385e-05,0.00066132,0.05620373,0.03684211,0.0,0.00012024,0.00054108
0xdd1db171b110fb857311fde3236217894e7e9ab8,23,19795,84018,True,2,1,0.666667,0.0,0.0,0.0,0.0004,0.0004,0.0004,0.0004,21,2,0.066667,0.033333,0.011111,0.005556,5.999999,5.999999,0.00679362,0.0,0.00015156,0.00011548,0.0,0.0,5.052e-05,0.00010104
