node,betweenness_centrality,in_degree,freq_in_long,in_degree_centrality,max_out_amount,clustering_coefficient,degree_centrality,out_degree,max_in_amount,avg_out_amount,is_phisher
0x91ba0c054cf1c92e141608c7be041487093bb0aa,0.0,0,0.0,0.0,0.084817,0.0,0.00045558,1,0.0,0.084817,0
0xb1297472c729340995a2d961833cd3d9c3752487,0.0,3,0.016667,0.00014465,0.0,0.0,0.00014465,0,8.3e-05,0.0,0
0xf99ab2c2f8d7e4490210307cd3865e54b21696b4,0.0,0,0.0,0.0,4.0,0.0,0.00014304,2,0.0,4.0,0
0x679c65bdf54504f83123d88afd9dc65f449ca354,0.0,0,0.0,0.0,0.0,0.0,0.00012458,1,0.0,0.0,0
0xf7dca20054469a1d548b20859a100b9ec6ff1f61,1.087e-05,11296,0.533333,0.1841959,0.052389,6.115e-05,0.18421575,1,0.001,0.052389,1
0x615f73574ccf2aa311519b8164168e8f8daf4710,0.0,1,0.005556,0.00161812,0.0,0.0,0.00161812,0,0.056214,0.0,0
0xc4bdd6be1064d3b11357392756eeb32f2c05954f,0.0,0,0.0,0.0,0.0,0.0,0.00011375,2,0.0,0.0,0
0xe900e2e83ed0c564108d8e901ca237dd9da45587,0.0,1,0.005556,9.985e-05,0.0,0.0,9.985e-05,0,0.0,0.0,0
0x902100cc6376db091d6e00757675128a8995f5ec,0.0,0,0.0,0.0,0.49895,0.0,0.00012384,1,0.0,0.49895,0
0x65e48798253229ba49ff8948a66bd745e07b5758,0.0,3,0.011111,0.00027906,27.99958,0.66666667,0.00041859,3,28.0,13.20358,1
0xa1e0de38dfbc1e93619e0d37c3c155714b4cf7a8,0.0,0,0.0,0.0,0.0,0.0,0.0002448,1,0.0,0.0,0
0x52c45b5c67245946e0cee2734cebfb0204a075bb,3.224e-05,73,0.405556,0.00019437,168.0,0.0127279,0.00067458,495,41.877532,0.883791,1
0xe926ef92b7bab05c0edf6ac9ccf001889430d5c7,0.0,1,0.005556,4.035e-05,0.0,0.0,0.00012104,2,0.001,0.0,0
0xa7e7fede492740fcfed4982a12c4a92e3bef6ed9,0.0,0,0.0,0.0,0.0,0.0,0.00033245,1,0.0,0.0,0
0x6d92e14f842ddb05c09d0cfcdc8016d61a361d91,0.0,3,0.016667,0.00027518,0.0,0.0,0.00027518,0,0.51,0.0,0
